A&A,Astronomy And Astrophysics
SASE,Self-amplified Spontaneous Emission
SASF,Straight Anisotropic Single-mode Fiber
SASS,Source Assessment Sampling System
SASU,Source Apportionment
SAT,Sulfuric Acid Trihydrate (polar Stratosphere Cloud Aerosol)
SATI,Spectral Airglow Temp. Imager
SATRAS,Satellite Transition Spectroscopy
SAW,Surface Acoustic Wave
SAW,Self-avoiding Walk [modeling]
SAW,Submerged Arc Welding
SAWD,Solid Amine Water Desorbed
SAWS,Surface Acoustic Wave Sensor
SAXPS,Selected Area X-ray Photoelectron Spectroscopy
SAXRD,Small-angle X-ray Diffraction
SAXS,Small Angle X-ray Scattering
SBA,Small Business Administration
SBA,Second Born Approximation
SBA,Short Bed Adsorbers
SBA,Slurry Blasting Agents
SBAR,Sequencing Batch Anaerobic Reactor(s)
SBCOD,Slowly Biodegradable Chemical Oxygen Demand
SBCPA,Single-bond Coherent Potential Approximation
SBD,Schottky-barrier Diode
SBDD,Structure-based Drug Design
SBE,Single Base Extension
SBE,Starch Branching Enzyme
SBE,Sulfobutyl Ether
SBF,Simulated Body Fluid
SBH,Schottky-barrier Height
SBH,Sequencing By Hybridization
SBIG,Subject-based Information Gateway
SBIR,Small Business Innovative Research Program
SBLA,Sealed Bipolar Lead Acid (battery)
SBMF,Slave-boson Mean Field (in Electronic-structure Calcns.)
SBMO,Subjacent Molecular Orbital
SBP,Systolic Blood Pressure
SBR,Sequential Batch Reactor
SBR,Styrene Butadiene Rubber
SBS,Society For Biomolecular Screening
SBS,Sick Building Syndrome
SBS,Stimulated Brillouin Scattering
SBSL,Single-bubble Sonoluminescence
SBSR,Single Bead String Reactor
SBTT,Small Business Technology Transfer
SBUV,Solar Backscatter UV Instrument
SBZ,Surface Brillouin Zone
SC,Surface Capacitance
SC-1,Standard Clean Solution #1
SC-2D,State-correlated Two-dimensional (NMR Spectroscopy)
SCA,Specific Collection Areas
SCA,Standing Committee Of Analysts [probably Of EC]
SCA,Self-consistent Approximation
SCA,Semiclassical Approximation
SCA,Semiclassical Coulomb Approximation
SCAB,South Coast Air Basin
SCADA,Supervisory Control And Data Acquisition
SCADS,Superfund Chemical Analysis Data System  (see CARD)
SCAF,Self-consistent Anisotropic Field
SCAG,Southern California Association Of Governments
SCAIS,Simulation Code For Atm. IR Spectra
SCALE,Symmetrically Configured AC Light Emitting [device]
SCALPEL,Scattering With Angular Limitation Projection Electron Lithography
SCALPEM,Scanning Laser Photoelectrochemical Microscopy
SCAMPI,Statistical Classification Of Activities Of Molecules For Pharmacophore Identification
SCAN,Silica-coated Aluminum Nitride
SCANIIR,Surface Composition Analysis By Neutral And Ion Impact Radiation
SCAP,Self-consistent Average Phonon (theory)
SCAP,Superfund Compliance Accomplishments Plan
SCAPS,Site Characterization And Analysis Penetrometer System
SCA-QD-MBPT,Self-consistently Adapted (core Reference State) Quasidegenerate Many-body Perturbation Theory
SCAQMD,South Coast Air Quality Management District
SCAQS,Southern California Air Quality Study
SCAR,Scientific Committee On Antarctic Research
SCAS,Stability And Command Augmentation System
SCASA,Semiclassical Approxn. Separated Atom
SCATE,Sulfur Chemistry In The Antarctic Troposphere Experiment
SCATMES,Scanning Camera And Target Measurement System
SCAUA,Semiclassical Approxn. United Atom
SCBA,Self-Contained Breathing Apparatus
SCBA,Self-consistent Born Approximation
SCBC,Self-consistent Basis And Configuration
SCBSA,Self-consistent Boundary-site Approxn. (for D.-of-states)
SCC,Source Classification Code
SCC,Standards Council Of Canada
SCC,Self-consistent Charge Method
SCC,Self-consistent Collective Coordinate (in Reactive Collisions)
SCC,Semiclassical Coupled-channel
SCC,Sludge Conditioning Controller
SCC,Somatic Cell Count
SCC,Squamous Cell Carcinoma
SCC,Stress-corrosion Cracking
SCC,Superposition Of Correlated Configurations (variational Method)
SCCC,Self-consistent Charge And Configuration Method
SCC-DVM,Self-consistent-charge-discrete-variational Method
SCCE,Synchronized Cyclic Capillary Electrophoresis
SCCEH,Self-consistent Charge Extended Hueckel Method
SCCF,Self-consistent Continued Fraction
SCCF,Self-consistent Crystal Field (method For Calcns. On Molecular Crystals)
SCCF,Spin-correlated Crystal Field
SCC-IEH,Self-consistent Charge-iterative Extended Hueckel
SCCM,Self-consistent Cell Model
SCCO2,Supercritical Carbon Dioxide
SCCP,Strong-coupling Correspondence Principle
SCCR,Self-consistent Current Relaxation (in Electronic Dynamic Structure Factor Calcns.)
SCCSA,Self-consistent Central-site Approxn. (for D.-of-states)
SCCT,Semiclassical Complex Trajectory
SCCWRP,Southern California Coastal Water Research Project
SCD,Sulfur Chemiluminescence Detector
SCD,Supercritical Drying
SCD,Self-consistent Dipole (approxn.)
SCD,Sickle Cell Disease
SCDL,Short Cavity Dye Laser
SCDM,Self-consistent Diagrammatic Method (in Calcn. On Electronic Excitation Transfer)
SCE,Short Channel Effect
SCE,Saturated Calomel Electrode
SCE,Self-consistent Energy (method In At. And Mol. Calcns. With An Einsteinian Relativistic Theory
SCE,Semiclassical Exchange Approximation
SCE,Sister Chromatid Exchange
SCEHM,Soil Chemical Exchange Of Heavy Metals Model
SCEM,Semiclassical Self-consistent Eikonal Method
SCEMR1,Soil Chemical Exchange And Migration Of Radionuclides Model
SCEP,Self-consistent Electron-pair Theory
SCEPM,Self-consistent Empirical Pseudopotential Method
SCF,Spherical Convergent Flap
SCF,Self-consistent Field
SCF,Single Crystal Fiber
SCF,Stem Cell Factor
SCF,Supercritical Fluid
SCF MO,Self-consistent Field Molecular Orbital
SCF2,Two-electron Self-consistent Field
SCFA,Short Chain Fatty Acid
SCFB,Standard Cubic Feet Per Barrel
SCFD,Supercritical Fluid Drying
SC-FLAPW,Self-consistent Full-potential Linearized-augmented-plane-wave
SCFM,Standard Cubic Feet Per Minute
SCFX-CI,Excited-state Self-consistent Field Configuration Interaction
SCG,Slow Crack Growth
SCGE,Single Cell Gel Electrophoresis
SCGF,Self-consistent Group Function
SCGF,Stem Cell Growth Factor
SCGP,Shell Coal Gasification Process
SCHA,Self-consistent Harmonic Approxn.
SCHAZ,Subcritical Heat-affected Zone
SC-HL,Self-consistent Heitler-London
SCI,Stabilized Criegee Intermediate(s)
SCI,Science Citation Index
SCI,Single Excitation Configuration Interaction
SCI,Spinal Cord Injury
SCI,Super Configuration Interaction
SCIA,Semiclassical Impact Approxn. (in Ionizing At. And Mol. Collision Calcns.)
SCIA,Semiclassical Impulse Approxn.
SCIAMACHY,SCanning Imaging Absorption SpectroMeter For Atmospheric CHartographY
SCIBM,Semiclassical Infinite-barrier Model
SCIC,Single-column Ion Chromatography
SCID,Severe Combined Immunodeficiency
SCISAS,Size Classifying Isokinetic Sequential Aerosol Sampler
SCIT,Standing Committee On Information Technologies
SCLC,Small Cell Lung Cancer
SCLC,Space Charge Limited Current
SCLCP,Side-chain Liquid-crystalline Polymer
SCLM,Scanning Confocal Laser Microscopy
SCLO,Self-consistent Local Orbital
SCLR,Single Configuration Linear Response (theory)
SCLS,Spectral Collocation (by) Least Squares
SCLS,Surface Core Level Shift
SCM,Surface Complexation Model (of Adsorption)
SCM,Scanning Capacitance Microscopy
SCM,Self-consistent Multipolar (method In Metal Cluster Calcns.)
SCM,Shell-correction Method (in Calcns. For Metal Clusters)
SCM,Spherical Cellular Model
SCM,Streaming Current Monitor (for Coagulation Water Treatment)
SCM,Subsurface Chlorophyll Maximum
SC-MBPT,Single-configuration Many-body Perturbation Theory
SCMCR,Simulated Countercurrent Moving-bed Chromatographic Reactor
SC-MEH-MO,Self-consistent-modified Extended Hueckel-MO
SCMFT,Self-consistent Mean-field Theory
SCMP,Self-consistent Madelung Potential
SCMPS,Spin-corrected Moeller-Plesset Nth-order
SCN,Suprachiasmatic Nucleus
SCNT,Somatic Cell Nuclear Transfer
SCO,Self-consistent Orbital
SCOD,Soluble Chemical Oxygen Demand
SC-OFMSW,Separately-collected Organic Fraction Of Municipal Solid Waste
SCOP,Structural Classification Of Proteins
SCOP,Spherical Complex Optical Potential (in Quantum Calcn. On Mol. Scattering)
SCOPE,Scientific Committee On The Problems Of The Environment
SCOPW,Self-consistent Orthogonalized Plane Wave
SCOR,Scientific Committee On Ocean Research
SCORIM,Shear Controlled Orientation In Injection Molding
SCOT,Shell Claus Off-gas Treating
SCOT,Support Coated Open Tubular
SCOTCH,Spin Coherence Transfer In Chemical Reactions
SCOWAR,Scientific Committee On Water Research
SCP,Single-cell Protein
SCP,Sterol Carrier Protein
SCPA,Self-consistent Phonon Approximation (for Lattice Dynamics Of Quantum Crystals)
SCPA,Single-site Coherent-potential Approximation (for Electronic Structure Calcns.)
SCPF,Self-consistent Perturbation Field
SCPF,Self-consistent Polarization Field Method
SCPHP,Self-consistent Particle-hole Propagator
SCPI,Standard Commands For Programmable Instruments
SCP-IOS,Semiclassical Perturbation-infinite Order Sudden
SCPM,Scanning Chemical Potential Microscopy
SCPOM,Self-consistent Projecton Operator Method
SCPP,Self-consistent Polarization Propagator
SCPT,Self-consistent-perturbation Theory
SCPT2,Self-consistent Second-order Perturbation Theory
SCPW,Symmetrized Combination Of Plane Waves
SCR,Selective Catalytic Reduction
SCR,Solar Cosmic Rays (related To Spacecraft And Space Travel)
SCR,Spectral Collocation Representation (of Basis Sets)
SCRAM,EPA Support Center For Regulatory Air Models
SCRAM,Short-Cut Risk Assessment Method
SCRF,Self-consistent Reaction Field
SCRI,Steel Can Recycling Institute
SCRIBE,Stratospheric Cryogenic Interferometer Balloon Experiment
SCRIMP,Seemann Composites Resin Infusion Under Flexible Tooling [plastics Molding]
SCRP,Specific Chelation
SCRP,Spin Correlated Radical Pairs
SCRPA,Self-consistent Random Phase Approximation
SCRPA,Separated Channel RPA
SC-RPA,Single-channel Random Phase Approximation
SCS,Soil Conservation Service
SCS,Semiclassical Coupled-states
SCSA,Small-curvature Semiclassical Adiabatic (approxn. For Mol. Energy Levels)
SCSAG,Small-curvature Semiclassical Adiabatic Ground-state (tunneling Approxn.)
SC-SCF,Semiclassical Self-consistent Field
SC-SEA,Single-channel Static-exchange Approximation
SC-SI,Semiclassical State Interaction (method For Solving Schroedinger Equation)
SCSOPW,Self-consistent Symmetrized Orthogonalized-plane-wave
SCSRC,Solids Contact Slurry Recirculating Clarifier(s)
SCT,Salmon Calcitonin
SCT,Stem Cell Transplantation
SCTA,Sample Controlled Thermal Analysis
SCTB,Self-consistent Tight-binding (in Electronic Structure)
SCTD,Superconducting Current Transfer Device
SCTDA,Separated Channel Tamm-Dancoff Approxn.
SCUVS,Stratospheric Climatology Using UV/Visible Spectroscopy
SC-VB,Spin-coupled Valence Bond
SCWO,Supercritical Water Oxidation
SD,Std. Deviation
SDA,Spray Drying Absorber
SDA,Subsurface Disposal Area
SDA,Strand Displacement Amplification
SDA,Structure-directing Agent
SDBS,Sodium Dodecylbenzenesulfonate
SDC,Samaria-doped Ceria
SDCI,Single And Double Excitation Configuration Interaction Model
SDCPA,Site-dependent Coherent Potential Approxn.
SDD,Silicon Drift Detector
SDECI,Singly And Doubly Excited Configuration Interaction
SDF,Spin(-unrestricted) Density Functional
SDF,Stromal Cell-derived Factor
SDFFF,Sedimentation Field Flow Fractionation (particle Analysis)
SDG,Signed Directed Graph (model)
SDGUGA,Shape-driven Graphical Unitary Group Approach
SDH,Succinate Dehydrogenase
SDI,Selective Dissemination Of Information
SDI,Silt Density Index
SDIM,Scaled Diatomics-in-molecules
SDIO,Strategic Defense Initiative Organization
SDLTS,Scanning Deep-level Transient Spectroscopy
SD-MBPT,Single (and) Double (substituted States) Many-body Perturbation Theory
SDME,Single-drop Microextraction
SDME,Static Mercury Drop Electrode
SDMM,Scanning Desorption Molecular Microscope
SDO,Shielded Diatomic Orbital
SDOSS,Sodium  Dioctylsulfosuccinate
SDPA,"4,4'-sulfonyldiphthalic Anhydride "
SDPM,Spin-dependent Photomodulation
SD-POE,Sigma-dependent Pi-orbital Electronegativity Model
SDQ-MBPT,Single (and) Double (and) Quadruple (substituted States) Many-body Perturbation Theory
SDQ-MBPT,Single-double-quadruple Excitation Many-body Perturbation Theory
SDR,Spin-dependent Resonance
SDRAM,Synchronous Dynamic Random Access Memory
SDRS,Surface Differential Reflectance Spectroscopy
SDS,Simulated Distribution System [for Water]
SDS,Sodium Dodecyl Sulfate
SDSD,Satellite Data Services Division
SDSL,Site-directed Spin Labeling
SDSR-CI,Single And Double Excitations From Single Ref. State Function-CI Method
SDSS,Sloan Digital Sky Survey
SDTQ-MBPT,Single-double-triple-quadruple Excitation (contribution) MBPT
SDW,Spin Density Wave
SDWA,Safe Drinking Water Act
SDY,Spin Drawn Yarn
SE,Standard Error
SE,Symmetric Eikonal (approxn. In Calcns. On Ion Scattering)
SEA WIFS,Sea-viewing Wide Field-of-view Sensor
SEAC,Surface-enhanced Affinity Capture
SEAM,Superfund Exposure Assessment Manual
SEAM,Scanning Electron Acoustic Microscopy
SEAMOS,Single-excitations-adapted Molecular Orbitals
SEAR,Surfactant-enhanced Aquifer Remediation
SEAREX,Sea/Air Exchange Program
SEAWIFS,Sea Viewing Wide Field Of View Sensor
SEB,Staphylococcal Enterotoxin B
SEC,Size Exclusion Chromatography
SEC,Scaled External Correlation (extrapolation Method In CI Calcn.)
SEC,Sulfite Evaporator Condensate
SECH,Screened Exchange Plus Coulomb Hole Method
SECI,Single Excitation Configuration Interaction
SECM,Scanning Electrochemical Microscopy
SECS,Simulation And Evaluation Of Chemical Synthesis
SECV,Standard Error Of Cross-validation
SECWA,State Energy Commission Of Western Australia
SED,Spectral Energy Distribution
SED,Surface-conduction Electron-emitter Display
SEDAC,Socioeconomic Data And Applications Center
SEDEX,Sedimentary Exhalative
SEDM,State/EPA Data Management
SEDM,Selective Excitation Double Moessbauer
SEDOR,Spin-echo Double Resonance
SEDRA,Simple Excitation For The Dephasing Of Rotational-echo Amplitudes
SEE,Space Environment And Effects
SEE,Secondary Electron Emission
SEE,Standard Error Of Estimate
SEE,Static Exact Exchange (approxn. In Electron-mol. Scattering)
SEED,Self Electro-optic Effect Device
SEELFS,Surface Extended-energy-loss Fine-structure
SEESR,Simultaneous Electrochemical-electron Spin Resonance
SEGD,Surfactant-enhanced Gravity Drainage [as Of Subsurface Contaminants]
SEGH,Society For Environmental Geochemistry And Health
SEGS,Solar Electric Generating System
SEHF,Spin-extended Hartree-Fock
SEHRRS,Surface Enhanced HyperRaman Resonance Spectroscopy
SEHRS,Surface-enhanced Hyper-Raman Scattering
SEI,Secondary Electron Imaging
SEIRA,Surface-enhanced Infrared Absorption
SEL,Stacked Elemental Layer (vapor Deposition Technique)
SEL,Surface Emitting Laser
SELDI,Surface-enhanced Laser Desorption Ionization Spectrometry
SELEX,Systematic Evolution Of Ligands By Exponential Enrichment
SEM,Scanning Electron Microscopy
SEM,Std. Error Of The Mean
SEM,Strategic Environmental Management
SEMC,Scaled Ensemble Monte Carlo
SEMI,Semiconductor Equipment And Materials Institute
SEMPA,Scanning Electron Microscopy With Polarization Analysis
SEMPI,Singly Excited Modified Perturbation Theory
SEN,Submerged Entry Nozzle
SENB,Single Edge Notched Beam
SEND,Surfaces Enhanced For Neat Desorption
SENSOR,Sentinel Event Notification Systems For Occupational Risks
SEP,Solar Energetic Particle (event)
SEP,Standard Error Of Prediction
SEP,Stimulated Emission Pumping
SEPA,State Environmental Policy Act
SEPAR,Surfaces Enhanced For Photolabile Attachment And Release
SEPP,State Environmental Protection Plan
SEPT,Secular Equation (with) Perturbation Theory
SERA,Sequential Electrochemical Reduction Analysis
SERC,State Emergency Response Commission
SERDP,Strategic Environmental Research And Development Program
SERDS,Shifted Excitation Raman Difference Spectroscopy
SEREX,Serological Identification Of Antigens By Recombinant Expre
SERHF,Symmetry-equivalenced Restricted Hartree-Fock
SERI,Solar Energy Research Institute
SERM,Selective Estrogen Receptor Modulator
SERODS,Surface-Enhanced Raman Optical Data Storage
SERON,Southern Regional Oxidant Network
SERRS,Surface-Enhanced Resonance Raman Spectroscopy
SERS,Surface Enhanced Raman Spectroscopy
SERT,Serotonin Transporter
SES,Surface Electronic State
SESAM,Semiconductor Saturable Absorber Mirror
SESAME,Second European Stratospheric Arctic And Midlatitude Experiment
SESAME,Simulation Of Electron Transport Supporting Analysis Of Materials
SESAO,Semiempirical Scaled Atomic Orbital
SESCA,Scanning Electron Spectroscopy For Chemical Applications
SESF,Superlattice Extrinsic Stacking Fault
SESFOD,Selective Excitation With Single Frequency Off Resonance Decoupling
SESMO,Semiempirical Scaled Molecular Orbital
SESR,Solvent Extraction And Soil Remediation
SET,Single Electron Transfer
SET,Single Electron Transistor
SET,Single Electron Tunneling
SETAC,Society Of Environmental Toxicology And Chemistry
SETB,Semiempirical Tight Binding
SETM,Statistical Electron Transfer Model (for Electron-exchange Collisions)
SETOC,International Sediment Exchange For Tests On Organic Contaminants
SETS,Superfund Enforcement Tracking System
SEU,Selective Excitation Unit
SEU,Single Event Upset (in Spacecraft Power Systems)
SEVB,Semiempirical Valence Bond
SEW,Site Electron-density Wave
SEXAFS,Surface-extended X-ray Absorption Fine Structure
SF CC,Space-fixed Close-coupled (equation
SF1,Steroidogenic Factor 1
SFA,Saturated Fatty Acid
SFA,Segmented Flow Analysis
SFA,Surface Force Apparatus
SFC,Specific Fuel Consumption
SFC,Supercritical Fluid Chromatography
SFCCCC,Space-fixed Complex-coordinate Coupled-channel Method
SFE,Stacking Fault Energy
SFE,Supercritical Fluid Extraction
SFEM,Scanning Field Emission Microscopy
SFF,Solid Freeform Fabrication
SFFF,Sedimentation Field Flow Fractionation
SFG,Sum Frequency Generation Spectroscopy
SFIP,Sector Facility Indexing Project
SFM,Scanning Force Microscopy
SFMS,Sector Field Mass Spectrometry
